review_id,user_id,business_id,stars,date,text,name,review_count,yelping_since,friend_count,useful,funny,cool,fans,state,review_length,word_count,account_age_days,reviews_per_day,states_reviewed_in,reviews_same_day,is_fake,is_short_review,is_extreme_rating,is_low_social,is_single_review_account,is_high_velocity,spam_score
rgsfLEpQkF9SCv2BMJvZSe,aAHklCYLcIyEEZXHx6EU8K,BYGe23aID565LWQSH2oXLA,5.0,2018-05-27 00:00:00,"Got takeout from here twice now so I feel like I can say a little more. Everything was tasty and the place felt clean. The staff was professional and attentive throughout the meal. Not cheap exactly, but not ridiculous either. For the amount of food, I thought the cost was fair. Really liked the atmosphere and the portions were decent. No big complaints, just a nice meal. Nice little spot, decent portions too. I've definitely had more memorable meals for the same price..",User,248,2016-10-29 00:00:00,14,6,0,0,5,AB,475,83,1158,0.4234,5,1,True,0,1,0,0,0,1
CAzD-M5OCiLSaeQWvuluBw,h0Thlk1xdm2BON6mHQz2Qw,9N-XAq_LjfCXL2tFp2rbKg,4.0,2019-03-14 19:56:21,"We had such a great time there.., atmosphere is awesome, big comfy chairs. Not too crowded on a wed night. Eric the bartender was super attentive and helpful. Food and drinks were outta sight! The only neg I'd say is the punching machine while your dining is really annoying! That's why the 4 not 5 stars. Otherwise good stuff!",Jon,6,2014-08-24 20:42:00,146,2,2,1,0,FL,327,59,4261,0.0014081201595869,1,1,False,0,0,0,0,0,0
NWGB7ndpCSDxFkhSai5VxQ,S9x7zz3I73S4AFa3B7dUdg,UWB_Oi9dkPwXfhYgFMnjsw,5.0,2018-08-16 12:30:46,"Great food, friendly service, cozy spot, good vibe!!! I got the pancake sandwich  and it was soooo goooood! Self-serve coffee was yummy. I like the look and feel of the place.",Jessica,13,2012-05-16 09:31:24,95,13,0,5,0,FL,175,31,5091,0.0025535258298958,1,1,False,1,1,0,0,0,2
KKDeXTt7dIX78eDHHeGIqw,DwLP7uMTzvCTifuh-oU1tA,PM_WuWyoqrKf20vYcD6ihQ,4.0,2018-03-20 01:45:56,"We stumbled upon this while passing through St. Petersburg. We loved it. The entire menu is vegan and it's basically a Chinese/Vietnamese fusion menu with completely vegan options.  I ordered the Portobello Noodle (which was great) and my wife ordered the Ginger Soy Protein (which was also really good). For appetizers, we also ordered the Kale Potato Soup and the Wonton Soup (both were decent - nothing special). 

When you first walk in, the place looks a little hole-in-the-wall-ish...and isn't the most well kept of places...but the food delivers in a deliciously satisfying way. I would highly recommend this to all vegans alike... and even those carnivores who are looking for healthier alternatives than your typical neighborhood Chinese joint.

The prices are reasonable (most entrees are around $9-$10) and the service staff is friendly (a little inexperienced, but friendly still).",Arpan,77,2009-06-06 23:38:42,3,115,25,35,4,FL,893,140,6166,0.0124878365228673,1,1,False,0,0,0,0,0,0
yAtd0_7B1NdVJ29JjFofIw,5_SK20jS7dDwgtinqS2y4g,VQypuqGYepDfaJS7A-QjYg,1.0,2018-08-06 02:05:18,"Food was cold, received the wrong burger, my brother's meal was cold as well. Staff didn't seem to care, Manager totally unhelpful. Don't know if it is worth the headache and the cold food. What a shame, first experience was a decent one, that is why I came back. I won't again.",Andrew,3,2013-12-08 04:01:37,13,0,0,0,0,NV,278,52,4520,0.0006637168141592,1,1,False,0,0,0,1,0,1
sz44HfYx7TTJkO4EHBYtrQ,GfI-qPb2WuRsg-6NUYJYSw,o62Bm9NyZ20u8EHuhRPB4g,1.0,2019-10-27 23:40:47,"So here's the thing, the food was decent.. for those that got their food. There were four of us and two of my friends got their food 30 minutes after we ordered.. no big deal. Then 20 minutes later one more plate came and I was still left with nothing.. the service is terrible. I never got my food and the time I spent here would have been better spent in a drive through to get food equally as fried as the food my friends received here. Would not recommend.",Derek,2,2015-11-23 01:12:26,695,1,0,0,0,MO,460,90,3805,0.0005256241787122,1,1,False,0,1,0,1,0,2
UvK0w3ybYAojCmd_4XjQfg,ln5ugWrIQDip4KofBMRcYQ,-ZXjWCTxItm-3wPkgsf8zQ,5.0,2018-11-29 20:44:16,"Good food, good deserts, awesome employees. Argentos has provided food for 2 events for me. A funeral and a baby shower. They were very accommodating and quick!  The funeral was on suck quick notice and the owner did it. Awesome service. Awesome food.",Erica,27,2012-01-18 18:46:52,199,78,29,27,2,FL,251,43,5210,0.0051823416506717,1,1,False,1,0,0,0,0,1
R_saQ0Cz_O4RxU_FV_RjSA,6HrF-nYg9VtNjwJiWizBrQ,VaO-VW3e1kARkU9bP1E7Fw,5.0,2018-05-24 02:47:27,"When we walked in we were seated at the bar. From the dozen of raw oysters that were quickly shucked and put before us, the blackened gator, char-grilled oysters, oysters rockefeller and bayou platter sampler, everything was fresh and delicious. Everyone was super friendly and made the experience worth coming back to!",Janey,23,2011-11-22 05:10:14,17,10,4,2,0,LA,319,52,5267,0.0043668122270742,1,1,False,0,0,0,0,0,0
2gWPhjNoH0rS6FyoU6HUXg,tjC7pbB2fJcdudoW-b3P_w,4ZNCc1GzJZkS7XI1c9rCMA,4.0,2019-11-03 00:00:27,"Great burgers, great hummus options! The fries are a bit ""different"" in texture, but tasted very good. The chicken shawarma is very good too!",Luis,85,2011-04-03 15:48:02,0,73,11,15,0,MO,141,24,5500,0.0154545454545454,1,1,False,1,0,0,0,0,1
UIXi732LsQg_tAdbDKPY0g,Vx06rnWRFpcUhvRksuiqLw,6EizP0XyqITuGZ8GZMI9Lw,5.0,2018-03-28 05:09:58,"Toma is your best option in Santa Barbara for upscale Italian/New American fare. In a town crowded with beautiful restaurants featuring high price tags and sometimes disappointing food, Toma is miles above the rest. 

It's an excellent place to celebrate a special occasion or have a nice meal while vacationing. Tucked back facing the waterfront, Toma is a very small, intimate restaurant that is elegant without feeling pretentious. It's away from the crowds - a perfect escape from State Street and the Wharf. 

I favor their pasta dishes, which use the freshest ingredients available and are generously portioned. My favorite dish at Toma (and perhaps in Santa Barbara as a whole) is their gnocchi. This features delightfully fresh, sweet rock shrimp, tender gnocchi, and a garlic-tomato sauce. It is consistently delicious. 

Consider reservations to avoid disappointment.",Alex,51,2016-01-25 22:34:39,20,131,21,70,4,CA,877,136,3742,0.0136290753607696,2,1,False,0,1,0,0,0,1
